Source	Target	Weight
Ciri	Aplegatt	2
Aplegatt	Yennefer	1
Ciri	Yennefer	31
Yennefer	Aplegatt	1
Aplegatt	Foltest	1
Foltest	Demavend	2
Codringher	Geralt	9
Geralt	Codringher	12
Codringher	Dandelion	3
Rience	Calanthe	1
Rience	Codringher	8
Codringher	Rience	10
Rience	Geralt	4
Geralt	Rience	6
Rience	Yennefer	2
Yennefer	Codringher	2
Yennefer	Rience	2
Codringher	Emhyr	1
Codringher	Philippa	1
Emhyr	Philippa	2
Emhyr	Sabrina	1
Emhyr	Henselt	2
Philippa	Sabrina	4
Philippa	Henselt	1
Sabrina	Henselt	3
Sabrina	Rience	1
Henselt	Rience	1
Codringher	Foltest	1
Codringher	Ciri	2
Foltest	Ciri	1
Foltest	Codringher	1
Ciri	Codringher	1
Ciri	Geralt	7
Rience	King	1
Codringher	King	1
Codringher	Calanthe	3
King	Calanthe	1
Geralt	King	1
King	Rience	1
Calanthe	Roegner	5
Roegner	Pavetta	4
Pavetta	Geralt	1
Geralt	Roegner	2
Codringher	Roegner	1
Roegner	Calanthe	1
Roegner	Ciri	1
Ciri	Calanthe	1
Geralt	Calanthe	1
Geralt	Pavetta	2
Calanthe	Pavetta	5
Pavetta	Calanthe	3
Pavetta	Eist	1
Eist	Calanthe	1
Calanthe	Codringher	1
Pavetta	Codringher	1
Emhyr	King	1
Akerspaark	Emhyr	1
Akerspaark	Horm	1
Horm	Codringher	1
Horm	Akerspaark	1
Codringher	Akerspaark	1
Akerspaark	Geralt	1
Geralt	Akerspaark	1
Geralt	Ciri	9
Akerspaark	Pavetta	1
Akerspaark	Ciri	1
Pavetta	Ciri	1
Ithlinne	Aen	1
Ithlinne	Codringher	1
Ithlinne	Geralt	1
Aen	Codringher	1
Aen	Geralt	1
Yennefer	Gar	2
Geralt	Yennefer	23
Little	Aplegatt	1
Demavend	Aplegatt	2
Aplegatt	Gar	1
Gar	Toruviel	1
Gar	Yaevinn	1
Toruviel	Yaevinn	1
Yaevinn	Toruviel	2
Toruviel	Aplegatt	1
Dandelion	Two	1
Yennefer	Ciri	26
Ciri	Yarpen	3
Yarpen	Yennefer	2
Yennefer	Jarre	1
Ciri	Jarre	3
Jarre	Molnar	1
Molnar	Ciri	5
Ciri	Molnar	4
Molnar	Yennefer	2
Yennefer	Molnar	5
Yennefer	Emhyr	1
Foltest	Molnar	1
Yennefer	Fifteen	1
Molnar	Little	1
Little	Yennefer	1
Little	Molnar	1
Fabio	Ciri	18
Ciri	Fabio	21
Fabio	Yennefer	2
Fabio	Molnar	1
Yennefer	Fabio	2
Molnar	Fabio	1
Fabio	Gar	1
Count	Ciri	1
Ciri	Nenneke	2
Fabio	Nenneke	1
Nenneke	Gar	1
Gar	Ciri	6
Two	Ciri	3
Two	Fabio	1
Jarre	Yennefer	1
Ciri	Tissaia	3
Ciri	Anna	1
Anna	Ciri	1
Anna	Yennefer	1
Yennefer	Margarita	2
Tissaia	Margarita	2
Tissaia	Yennefer	5
Tissaia	Ciri	2
Margarita	Yennefer	2
Falka	Rayla	2
Rayla	Ciri	1
Yennefer	Rayla	1
Ciri	Rayla	3
Margarita	Tissaia	2
Ciri	Margarita	1
Tissaia	Geralt	4
Yennefer	Geralt	19
Ciri	Gar	2
Ciri	Yaevinn	2
Ciri	King	1
Ciri	Bran	2
King	Ciri	2
King	Bran	1
Bran	Ciri	1
Dandelion	Falka	1
Count	Dandelion	1
Dandelion	Yennefer	1
Yennefer	Dandelion	5
Dandelion	Ciri	4
Ciri	Dandelion	7
Geralt	Dandelion	11
Sabrina	Geralt	3
Yennefer	Sabrina	3
Geralt	Sabrina	3
Henselt	Sabrina	1
Geralt	Philippa	3
Yennefer	Philippa	4
Sabrina	Yennefer	2
Yennefer	Henselt	1
Henselt	Yennefer	1
Philippa	Triss	4
Triss	Philippa	2
Triss	Yennefer	4
Philippa	Yennefer	4
Yennefer	Triss	6
Triss	Geralt	3
Geralt	Triss	4
Geralt	Esterad	1
Triss	Esterad	2
Geralt	Vilgefortz	12
Geralt	Francesca	1
Vilgefortz	Francesca	3
Vilgefortz	Carduin	2
Carduin	Philippa	2
Philippa	Geralt	3
Geralt	Count	1
Two	King	1
Francesca	Sabrina	1
Marti	Sabrina	2
Sabrina	Marti	2
Marti	Geralt	2
Geralt	Dorregaray	5
Yennefer	Dorregaray	1
Dorregaray	Geralt	3
Sabrina	Dorregaray	1
Philippa	Dorregaray	1
Dorregaray	Sabrina	1
Sabrina	Ethain	1
Ethain	Sabrina	1
Ethain	Henselt	1
Henselt	Marti	1
Yennefer	Keira	2
Keira	Sabrina	1
Sabrina	Keira	1
Keira	Marti	2
Keira	Philippa	1
Marti	Philippa	2
Philippa	Keira	3
Philippa	Marti	2
Yennefer	Vilgefortz	5
Yennefer	Artaud	1
Yennefer	Francesca	2
Yennefer	Tissaia	5
Artaud	Yennefer	1
Artaud	Francesca	1
Artaud	Tissaia	2
Francesca	Tissaia	2
Tissaia	Vilgefortz	8
Vilgefortz	Geralt	10
Vilgefortz	Yennefer	4
Vilgefortz	Tissaia	1
Lydia	Vilgefortz	4
Geralt	Lydia	4
Beau	Vilgefortz	1
Leticia	Tissaia	1
Leticia	Lydia	1
Tissaia	Lydia	3
Lydia	Geralt	3
Lydia	Falka	1
Geralt	Falka	3
Aen	Lydia	1
Lydia	Ciri	1
Ciri	Lydia	1
Geralt	Gar	3
Yennefer	Lydia	1
Vilgefortz	Ciri	1
Vilgefortz	Codringher	2
Ciri	Triss	1
Falka	Pavetta	2
Falka	Ithlinne	2
Pavetta	Falka	1
Pavetta	Ithlinne	1
Ithlinne	Falka	1
Falka	Codringher	1
Codringher	Falka	1
Falka	Geralt	1
Rience	Emhyr	1
Artaud	Keira	1
Artaud	Geralt	1
Keira	Geralt	5
Geralt	Keira	3
Keira	Yennefer	3
Lydia	Sabrina	1
Sabrina	Triss	1
Sabrina	Lydia	1
Triss	Lydia	2
Triss	Vilgefortz	2
Gar	Philippa	2
Gar	Marti	1
Lydia	Tissaia	1
Geralt	Tissaia	2
Geralt	Artaud	1
Tissaia	Artaud	1
Tissaia	Philippa	6
Lydia	Artaud	1
Lydia	Philippa	3
Artaud	Philippa	2
Philippa	Tissaia	3
Triss	Keira	1
Triss	Tissaia	1
Keira	Tissaia	2
Tissaia	Francesca	3
Keira	Gar	4
Sigismund	Voymir	1
Philippa	King	3
Dorregaray	Marti	1
Dorregaray	Carduin	2
Marti	Carduin	2
Marti	Gar	1
Carduin	Gar	3
Gar	Carduin	1
Philippa	Carduin	1
Carduin	Tissaia	1
Gar	Tissaia	1
Gar	Francesca	1
Francesca	Vilgefortz	1
Francesca	Marti	1
Francesca	Dorregaray	1
Vilgefortz	Marti	1
Vilgefortz	Dorregaray	1
Marti	Dorregaray	1
Gar	Yennefer	3
Gar	Keira	1
Keira	Vilgefortz	1
Philippa	Demavend	2
Sabrina	Demavend	1
Sabrina	Tissaia	1
Demavend	Tissaia	1
Demavend	Philippa	1
Tissaia	Demavend	1
Esterad	Carduin	1
Esterad	Sabrina	1
Carduin	Sabrina	1
Sabrina	Emhyr	1
Emhyr	Vilgefortz	4
Vilgefortz	Emhyr	5
Francesca	Emhyr	1
Francesca	Philippa	1
Philippa	Lydia	2
Emhyr	Tissaia	1
Sabrina	Foltest	1
Sabrina	Philippa	1
Foltest	Philippa	1
Foltest	King	2
King	Tissaia	2
King	Philippa	1
Rience	Vilgefortz	1
Margarita	Ciri	1
Ciri	Emhyr	2
Emhyr	Ciri	2
Ciri	Vilgefortz	4
Gar	Vilgefortz	1
Emhyr	Geralt	1
Artaud	Emhyr	1
Artaud	Vilgefortz	1
Emhyr	Codringher	1
Gar	Triss	1
Triss	King	1
Tissaia	Triss	1
Emhyr	Morvran	1
Emhyr	Jan	1
Morvran	Jan	1
Dandelion	Venzlav	1
Dandelion	Geralt	8
Gar	Geralt	1
Dandelion	Triss	2
Triss	Venzlav	1
Venzlav	Geralt	1
Venzlav	Dandelion	1
Geralt	Fauve	1
Fauve	Dandelion	2
Emhyr	Two	1
King	Demavend	1
Bronibor	Foltest	1
Bronibor	Emhyr	1
Foltest	Emhyr	3
Demavend	Hereward	2
Hereward	Emhyr	1
King	Emhyr	1
Ciri	Henselt	1
Henselt	Foltest	1
Henselt	Demavend	1
Demavend	Dandelion	1
Dandelion	Menno	1
Menno	Geralt	1
Esterad	Vilgefortz	2
Esterad	Emhyr	2
Vilgefortz	Dandelion	2
Emhyr	Dandelion	1
Filavandrel	Henselt	2
Emhyr	Filavandrel	3
Emhyr	Foltest	1
Filavandrel	Foltest	1
Foltest	Henselt	1
Henselt	Emhyr	1
Emhyr	Aen	1
Dandelion	Gar	1
Dandelion	Fauve	1
Gar	Fauve	1
Gar	Dandelion	1
Ardal	Emhyr	1
Count	Emhyr	1
Vattier	Emhyr	1
Vattier	Stefan	1
Emhyr	Stefan	2
Emhyr	Xarthisius	1
Xarthisius	Emhyr	1
Emhyr	Vattier	1
Vattier	Ceallach	1
Xarthisius	Vilgefortz	1
Cahir	Emhyr	1
Emhyr	Cahir	1
Cahir	Ceallach	1
Cahir	Vattier	1
Ceallach	Vattier	1
Vattier	Adda	1
Adda	Ciri	1
Jarre	Geralt	1
Ciri	Seven	1
Ciri	Little	10
Little	Ciri	7
Aen	Ciri	2
Calanthe	Paulie	1
Calanthe	Vilgefortz	1
Paulie	Vilgefortz	1
Vilgefortz	Triss	1
Little	Falka	1
Blue	Ciri	6
Ciri	Blue	6
Ciri	Two	3
Blue	Two	11
Two	Blue	6
Blue	Sir	1
Ciri	Sir	1
Sir	Blue	1
Ciri	Kayleigh	14
Kayleigh	Baron	4
Baron	Ciri	2
Baron	Kayleigh	1
Kayleigh	Ciri	14
Kayleigh	Iskra	2
Iskra	Ciri	11
